Latitude (degrés);Longitude (degrés);Altitude (mètres);Service range(mètres);Distance de séparation (mètres);Angle ground station (degrés;puissance reçue (dbm);distance_interferer;Interférence (dbm)
48.43393667918543;1.0242125763684577;528.6591505454126;87097.88021134924;87102.70904471203;90.06283277535248;-107.3318503860101;72872.66097826249;-113.0
48.42342034154093;1.0071336324872395;528.6252412374029;87529.07990987273;87533.91794858105;90.06638533922789;-107.37474547403664;74611.05577457802;-113.0
48.41290400389643;0.9900546886060213;528.5913319293933;87992.45908927674;87997.30714471276;90.07018535877977;-107.42060681223455;76349.60422262369;-113.0
48.40238766625193;0.9729757447248031;528.5574226213836;88487.52320858413;88492.38209593181;90.07422531475656;-107.46933798248571;78088.30623372084;-113.0
48.39187132860743;0.9558968008435847;528.523513313374;89013.7545326557;89018.62507057698;90.07849744483742;-107.52083905457008;79827.16171918044;-113.0
48.38135499096293;0.9388178569623664;528.4896040053643;89570.61458898796;89575.49759922561;90.08299379416377;-107.57500719122214;81566.17059030398;-113.0
48.37083865331843;0.9217389130811482;528.4556946973547;90157.54661769225;90162.44292460098;90.0877062643633;-107.6317372413148;83305.33275838317;-113.0
48.36032231567393;0.90465996919993;528.421785389345;90773.97799339124;90778.888423406;90.09262666057435;-107.69092231543178;85044.6481346984;-113.0
48.34980597802944;0.8875810253187116;528.3878760813354;91419.32259970522;91424.2479807577;90.09774673606934;-107.75245433882105;86784.11663052202;-113.0
48.33928964038493;0.8705020814374933;528.3539667733257;92092.98313914733;92097.92430003292;90.10305823412006;-107.81622457748358;88523.73815711428;-113.0
48.32877330274044;0.8534231375562751;528.3200574653162;92794.35336341131;92799.3111331222;90.10855292686583;-107.88212413392324;90263.51262572734;-113.0
48.318256965095934;0.8363441936750569;528.2861481573065;93522.82021134753;93527.79541837393;90.11422265098692;-107.95004440984573;92003.43994760267;-113.0
48.30774062745144;0.8192652497938385;528.2522388492969;94277.76584409921;94282.75931571094;90.12005934006942;-108.01987753382386;93743.52003397001;-113.0
48.297224289806934;0.8021863059126202;528.2183295412872;95058.56956909593;95063.58213061215;90.12605505361594;-108.09151675263857;95483.75279605272;-113.0
48.28670795216244;0.785107362031402;528.1844202332776;95864.60964664882;95869.64212070279;90.13220200269181;-108.16485678563754;97224.13814506092;-113.0
48.276191614517934;0.7680284181501837;528.1505109252679;96695.26497484592;96700.31818065188;90.13849257227788;-108.23979414202716;98964.67599219573;-113.0
48.26567527687344;0.7509494742689654;528.1166016172583;97549.91665025157;97554.99140288275;90.14491934041112;-108.31622740152139;146081.80069455525;-113.0
48.255158939228934;0.7338705303877471;528.0826923092486;98427.94940352898;98433.04651320913;90.15147509426635;-108.3940574592053;146041.89922784243;-113.0
48.24464260158444;0.7167915865065289;528.048783001239;99328.75291054437;99333.87318196183;90.15815284331262;-108.47318773584027;146021.2539305431;-113.0
